X,lon,lat
504,-74.0028253,40.7389305
506,-73.9352473,40.7933657
507,-73.9875635,40.7420371
508,-73.9875635,40.7420371
509,-73.9747602,40.7818509
510,-73.9402071,40.8401742
512,-73.9621624,40.8136017
513,-74.0059413,40.7127837
514,-74.0059413,40.7127837
515,-74.0059413,40.7127837
516,-74.0059413,40.7127837
517,-74.0059413,40.7127837
518,-74.0059413,40.7127837
519,-74.0059413,40.7127837
520,-74.0059413,40.7127837
521,-74.0059413,40.7127837
522,-73.9842563,40.7118354
523,-73.9818676,40.7158291
524,-74.00201,40.7416596
525,-73.9942972,40.7132275
526,-74.0025474,40.7253366
528,-73.9889851,40.7779336
529,-74.0059413,40.7127837
530,-74.0059413,40.7127837
531,-73.9780263,40.7932368
534,-74.0059413,40.7127837
535,-73.9626164,40.8069776
536,-74.0059413,40.7127837
537,-74.0059413,40.7127837
