"","LAT","LON"
"564",-74.102688,40.642339
"565",-74.102285,40.643167
"566",-73.751402,40.602349
"567",-73.751402,40.602349
"568",-73.751402,40.602349
"569",-73.751402,40.602349
"570",-74.077292,40.627089
"571",-74.075848,40.62686
"572",-74.076173,40.626579
"573",-73.936816,40.793669
"574",-73.936816,40.793669
"575",-73.936816,40.793669
"576",-74.0076720715,40.7427538286
"577",-73.936816,40.793669
"578",-73.936816,40.793669
"579",-73.936816,40.793669
"580",-73.936759,40.793305
"581",-73.936242,40.793748
"582",-74.076763,40.637317
"583",-74.005462,40.729564
"584",-74.005462,40.729564
"585",-74.005462,40.729564
"586",-74.005462,40.729564
"587",-74.005462,40.729564
"588",-73.998629,40.732142
"589",-73.997778,40.731863
"590",-73.99684,40.731351
"591",-73.996079,40.730975
"592",-73.997476,40.729856
"593",-73.997991,40.730255
"594",-73.998476,40.730394
"595",-73.999042,40.731844
"596",-73.95969,40.818499
"597",-73.95969,40.82059
"598",-73.910588,40.747454
"599",-73.910576,40.747518
"600",-73.909415,40.746238
"601",-73.907408,40.745691
"602",-73.90888,40.746853
"603",-73.909532,40.74745
"604",-74.188231,40.519237
"605",-74.189765,40.518167
"606",-74.190996,40.517283
"607",-74.190323,40.517045
"608",-74.189823,40.517148
"609",-73.821334,40.694095
"610",-73.822368,40.694165
"611",-73.822817,40.695077
"612",-73.820593,40.694624
"613",-73.820841,40.695132
"614",-73.99798,40.71025
"615",-73.99798,40.71025
"616",-73.785705,40.70389
"617",-73.785122,40.702982
"618",-73.784529,40.702057
"619",-73.783594,40.702707
"620",-73.783924,40.703373
"621",-73.784562,40.704265
"622",-74.00014,40.598257
"623",-74.00027,40.5977
"624",-74.001112,40.597585
"625",-74.000282,40.597176
"626",-73.999685,40.597154
"627",-74.001359,40.597161
"628",-74.001135,40.59815
"629",-73.871349,40.87301
"630",-73.870472,40.85398
"631",-73.9027,40.6571
"632",-73.903152,40.657028
"633",-73.894626,40.864781
"634",-73.901808,40.657213
"635",-73.9028,40.6567
"636",-73.9027,40.6564
"637",-73.9025,40.6561
"638",-73.90257,40.6562
"639",-73.90276,40.6561
"640",-73.90286,40.6521
"641",-73.90285,40.6559
"642",-73.909734,40.842327
"643",-73.909631,40.841708
"644",-73.90548,40.84112
"645",-73.9071,40.8416
"646",-73.90678,40.84122
"647",-73.90848,40.8377
"648",-73.90834,40.83814
"649",-73.981894,40.573739
"650",-73.981827,40.573218
"651",-73.981826,40.573218
"652",-73.981996,40.574278
"653",-73.977901,40.574582
"654",-73.977867,40.574915
"655",-73.977982,40.574062
"656",-73.977863,40.573491
"657",-73.977563,40.573527
"658",-73.977366,40.573551
"659",-73.977366,40.573551
"660",-73.978297,40.573439
"661",-73.97851,40.573432
"662",-73.978872,40.573381
"663",-74.0045885368,40.7445703086
"664",-73.978937,40.573384
"665",-73.978937,40.573384
"666",-73.979853,40.573428
"667",-73.980344,40.57341
"668",-73.979855,40.573276
"669",-73.980012,40.573266
"670",-73.980143,40.573253
"671",-73.980356,40.573227
"672",-73.985629,40.572784
"673",-73.985618,40.572675
"674",-73.985618,40.572675
"675",-73.985747,40.572669
"676",-73.985747,40.572669
"677",-73.986039,40.572664
"678",-73.897582,40.83448
"679",-73.898171,40.834623
"680",-73.900089,40.835691
"681",-73.894981,40.83666
"682",-73.89377,40.836972
"683",-73.89331,40.837117
"684",-73.890395,40.837184
"685",-73.894893,40.837503
"686",-73.893658,40.837539
"687",-73.890376,40.837704
"688",-73.893478,40.838058
"689",-73.893388,40.838217
"690",-73.888714,40.838988
"691",-73.888714,40.838989
"692",-73.887464,40.839709
"693",-73.887757,40.83971
